tm,MVm,PVm
2.120000000000000000e+02,1.000000000000000000e+00,2.336499999999999133e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.336499999999999133e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.344499999999999917e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.368750000000000300e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.408999999999998920e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.416999999999999704e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.416999999999999704e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.416999999999999704e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.416999999999999704e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.416999999999999704e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.425250000000000183e-01
2.230000000000000000e+02,1.000000000000000000e+00,2.449249999999999206e-01
2.240000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.250000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.260000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.270000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.280000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.290000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.300000000000000000e+02,1.000000000000000000e+00,2.497749999999999970e-01
2.310000000000000000e+02,1.000000000000000000e+00,2.505749999999998812e-01
2.320000000000000000e+02,1.000000000000000000e+00,2.529999999999999472e-01
2.330000000000000000e+02,1.000000000000000000e+00,2.570249999999999480e-01
2.340000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.350000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.360000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.370000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.380000000000000000e+02,1.000000000000000000e+00,2.570249999999999480e-01
2.390000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.400000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.410000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.420000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.430000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.440000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.450000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.460000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.470000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.480000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.490000000000000000e+02,1.000000000000000000e+00,2.594250000000000722e-01
2.500000000000000000e+02,1.000000000000000000e+00,2.626499999999999946e-01
2.510000000000000000e+02,1.000000000000000000e+00,2.642749999999999266e-01
2.520000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.530000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.540000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.550000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.560000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.570000000000000000e+02,1.000000000000000000e+00,2.658749999999999725e-01
2.580000000000000000e+02,1.000000000000000000e+00,2.674999999999999045e-01
2.590000000000000000e+02,1.000000000000000000e+00,2.690999999999998948e-01
